Tarih;Saat;Tüketim Miktar?(MWh)
1.06.2025;00:00;33.758,78
1.06.2025;01:00;31.994,89
1.06.2025;02:00;30.335,27
1.06.2025;03:00;29.698,17
1.06.2025;04:00;29.203,16
1.06.2025;05:00;28.116,11
1.06.2025;06:00;27.211,88
1.06.2025;07:00;27.323,07
1.06.2025;08:00;28.930,20
1.06.2025;09:00;30.968,71
1.06.2025;10:00;32.748,52
1.06.2025;11:00;33.705,29
1.06.2025;12:00;33.756,02
1.06.2025;13:00;34.164,80
1.06.2025;14:00;34.447,11
1.06.2025;15:00;33.928,46
1.06.2025;16:00;33.981,85
1.06.2025;17:00;34.212,72
1.06.2025;18:00;34.876,80
1.06.2025;19:00;35.607,03
1.06.2025;20:00;37.131,08
1.06.2025;21:00;37.211,98
1.06.2025;22:00;35.693,44
1.06.2025;23:00;33.981,06
2.06.2025;00:00;32.347,35
2.06.2025;01:00;30.516,96
2.06.2025;02:00;29.409,55
2.06.2025;03:00;28.640,84
2.06.2025;04:00;28.554,99
2.06.2025;05:00;27.818,14
2.06.2025;06:00;27.659,20
2.06.2025;07:00;30.537,21
2.06.2025;08:00;36.102,17
2.06.2025;09:00;38.831,88
2.06.2025;10:00;40.188,48
2.06.2025;11:00;41.371,03
2.06.2025;12:00;40.241,85
2.06.2025;13:00;40.566,73
2.06.2025;14:00;41.554,14
2.06.2025;15:00;41.176,06
2.06.2025;16:00;41.154,87
2.06.2025;17:00;41.048,75
2.06.2025;18:00;40.104,70
2.06.2025;19:00;40.000,21
2.06.2025;20:00;41.186,36
2.06.2025;21:00;40.795,17
2.06.2025;22:00;39.043,65
2.06.2025;23:00;37.013,49
3.06.2025;00:00;34.781,36
3.06.2025;01:00;32.948,51
3.06.2025;02:00;31.540,33
3.06.2025;03:00;30.711,51
3.06.2025;04:00;30.489,87
3.06.2025;05:00;29.659,32
3.06.2025;06:00;29.579,81
3.06.2025;07:00;31.545,99
3.06.2025;08:00;36.958,67
3.06.2025;09:00;39.163,85
3.06.2025;10:00;40.831,60
3.06.2025;11:00;41.536,74
3.06.2025;12:00;40.448,43
3.06.2025;13:00;40.952,19
3.06.2025;14:00;41.905,79
3.06.2025;15:00;41.587,97
3.06.2025;16:00;41.440,16
3.06.2025;17:00;40.970,73
3.06.2025;18:00;40.075,30
3.06.2025;19:00;40.025,36
3.06.2025;20:00;41.370,47
3.06.2025;21:00;40.987,74
3.06.2025;22:00;39.251,16
3.06.2025;23:00;36.365,25
4.06.2025;00:00;34.827,64
4.06.2025;01:00;32.978,16
4.06.2025;02:00;31.535,87
4.06.2025;03:00;30.657,02
4.06.2025;04:00;30.347,06
4.06.2025;05:00;29.288,29
4.06.2025;06:00;28.489,39
4.06.2025;07:00;31.159,43
4.06.2025;08:00;35.793,80
4.06.2025;09:00;38.933,92
4.06.2025;10:00;40.368,07
4.06.2025;11:00;41.198,68
4.06.2025;12:00;40.244,57
4.06.2025;13:00;41.249,39
4.06.2025;14:00;41.566,44
4.06.2025;15:00;41.115,68
4.06.2025;16:00;40.251,74
4.06.2025;17:00;39.576,64
4.06.2025;18:00;38.637,85
4.06.2025;19:00;38.809,98
4.06.2025;20:00;40.022,24
4.06.2025;21:00;40.034,59
4.06.2025;22:00;38.242,51
4.06.2025;23:00;35.456,26
5.06.2025;00:00;33.140,14
5.06.2025;01:00;30.874,66
5.06.2025;02:00;29.191,52
5.06.2025;03:00;28.195,79
5.06.2025;04:00;27.561,56
5.06.2025;05:00;26.133,85
5.06.2025;06:00;24.946,43
5.06.2025;07:00;25.783,59
5.06.2025;08:00;28.296,04
5.06.2025;09:00;30.750,72
5.06.2025;10:00;32.868,18
5.06.2025;11:00;33.402,78
5.06.2025;12:00;33.143,03
5.06.2025;13:00;32.963,10
5.06.2025;14:00;33.030,06
5.06.2025;15:00;32.502,92
5.06.2025;16:00;32.087,94
5.06.2025;17:00;32.105,86
5.06.2025;18:00;32.679,90
5.06.2025;19:00;33.218,49
5.06.2025;20:00;34.393,29
5.06.2025;21:00;34.196,55
5.06.2025;22:00;32.803,64
5.06.2025;23:00;30.761,83
6.06.2025;00:00;28.217,39
6.06.2025;01:00;25.917,95
6.06.2025;02:00;24.199,94
6.06.2025;03:00;23.342,29
6.06.2025;04:00;23.021,43
6.06.2025;05:00;22.446,33
6.06.2025;06:00;22.006,80
6.06.2025;07:00;22.665,53
6.06.2025;08:00;23.695,91
6.06.2025;09:00;24.699,37
6.06.2025;10:00;25.283,45
6.06.2025;11:00;25.977,28
6.06.2025;12:00;26.555,04
6.06.2025;13:00;27.001,69
6.06.2025;14:00;27.217,61
6.06.2025;15:00;27.117,63
6.06.2025;16:00;27.233,18
6.06.2025;17:00;27.723,33
6.06.2025;18:00;28.342,30
6.06.2025;19:00;28.910,94
6.06.2025;20:00;30.511,92
6.06.2025;21:00;30.719,18
6.06.2025;22:00;29.673,13
6.06.2025;23:00;28.584,23
7.06.2025;00:00;27.397,95
7.06.2025;01:00;25.547,65
7.06.2025;02:00;24.291,34
7.06.2025;03:00;23.666,53
7.06.2025;04:00;23.162,68
7.06.2025;05:00;21.817,64
7.06.2025;06:00;21.558,75
7.06.2025;07:00;22.266,49
7.06.2025;08:00;24.107,63
7.06.2025;09:00;26.154,15
7.06.2025;10:00;28.130,86
7.06.2025;11:00;29.111,93
7.06.2025;12:00;29.509,86
7.06.2025;13:00;29.785,66
7.06.2025;14:00;29.593,23
7.06.2025;15:00;29.363,02
7.06.2025;16:00;29.272,58
7.06.2025;17:00;29.683,85
7.06.2025;18:00;29.918,09
7.06.2025;19:00;30.374,47
7.06.2025;20:00;31.891,72
7.06.2025;21:00;31.922,80
7.06.2025;22:00;30.727,76
7.06.2025;23:00;29.579,15
8.06.2025;00:00;28.331,73
8.06.2025;01:00;26.431,23
8.06.2025;02:00;25.246,75
8.06.2025;03:00;24.433,18
8.06.2025;04:00;23.913,47
8.06.2025;05:00;22.628,66
8.06.2025;06:00;22.188,73
8.06.2025;07:00;23.024,91
8.06.2025;08:00;24.836,07
8.06.2025;09:00;27.148,55
8.06.2025;10:00;29.244,67
8.06.2025;11:00;30.348,88
8.06.2025;12:00;30.792,37
8.06.2025;13:00;30.957,96
8.06.2025;14:00;30.945,95
8.06.2025;15:00;30.795,60
8.06.2025;16:00;30.740,52
8.06.2025;17:00;30.999,22
8.06.2025;18:00;31.208,31
8.06.2025;19:00;31.777,62
8.06.2025;20:00;33.265,81
8.06.2025;21:00;33.201,19
8.06.2025;22:00;32.003,86
8.06.2025;23:00;30.734,89
9.06.2025;00:00;28.895,10
9.06.2025;01:00;27.074,43
9.06.2025;02:00;25.738,77
9.06.2025;03:00;24.911,62
9.06.2025;04:00;24.366,09
9.06.2025;05:00;23.246,71
9.06.2025;06:00;22.869,36
9.06.2025;07:00;23.670,77
9.06.2025;08:00;26.076,61
9.06.2025;09:00;28.623,07
9.06.2025;10:00;31.241,91
9.06.2025;11:00;32.826,22
9.06.2025;12:00;33.396,38
9.06.2025;13:00;33.959,59
9.06.2025;14:00;33.980,74
9.06.2025;15:00;33.751,63
9.06.2025;16:00;33.780,04
9.06.2025;17:00;34.100,78
9.06.2025;18:00;34.123,44
9.06.2025;19:00;34.463,54
9.06.2025;20:00;35.853,98
9.06.2025;21:00;35.889,63
9.06.2025;22:00;34.664,30
9.06.2025;23:00;33.091,56
10.06.2025;00:00;31.611,27
10.06.2025;01:00;29.893,47
10.06.2025;02:00;28.586,62
10.06.2025;03:00;27.826,87
10.06.2025;04:00;27.400,53
10.06.2025;05:00;26.681,72
10.06.2025;06:00;27.036,63
10.06.2025;07:00;29.792,38
10.06.2025;08:00;36.025,46
10.06.2025;09:00;40.457,15
10.06.2025;10:00;42.597,30
10.06.2025;11:00;43.829,70
10.06.2025;12:00;43.295,82
10.06.2025;13:00;44.554,13
10.06.2025;14:00;45.613,87
10.06.2025;15:00;45.464,38
10.06.2025;16:00;45.325,09
10.06.2025;17:00;44.586,78
10.06.2025;18:00;43.452,63
10.06.2025;19:00;43.312,62
10.06.2025;20:00;44.366,61
10.06.2025;21:00;44.283,99
10.06.2025;22:00;42.398,24
10.06.2025;23:00;40.224,79
11.06.2025;00:00;37.005,22
11.06.2025;01:00;35.008,95
