Tarih;Saat;Toplam;Doğal Gaz;Barajlı;Linyit;Akarsu;İthal Kömür;Rüzgar;Güneş;Fuel Oil;Jeotermal;Asfaltit Kömür;Taş Kömür;Biyokütle;Nafta;LNG;Uluslararası;Atık Isı
1.06.2025;00:00;33683,29;3973,2;5546,51;5344,77;3066,13;7449,12;5767,55;0,02;82,61;1282,08;79,48;461,44;939,94;0;0;-388,31;78,75
1.06.2025;01:00;31922,96;3919,76;4440,05;5334,59;2962,07;7223,17;5450,66;0,02;81,95;1295,04;81,69;471,33;933,66;0;0;-349,02;77,99
1.06.2025;02:00;30264,93;3392,73;4162,75;5323,11;2799,71;6676,81;5295,44;0,02;82,65;1302,76;81,69;470,14;941,09;0;0;-342,5;78,53
1.06.2025;03:00;29634,59;2120,49;4727,01;5287,57;2891,98;6571,34;5422,08;0,05;81,7;1305,33;79,48;465,67;934,3;0;0;-325,61;73,2
1.06.2025;04:00;29130,76;1711,66;4193,63;5256,06;2899,93;6965,39;5503,18;2,68;76,91;1309,43;81,69;462,3;943,73;0;0;-348,57;72,74
1.06.2025;05:00;27883,31;1682,94;3307,4;5055,22;2720,07;6997,15;5444,45;84,27;76,33;1312,05;79,48;456,29;940,27;0;0;-347,48;74,87
1.06.2025;06:00;25978,61;1658,85;2914,43;4462,52;2642;5549,17;5384,46;750,31;70;1314,83;81,69;475,38;943,16;0;0;-341,64;73,45
1.06.2025;07:00;23669,84;1509,73;2553,04;4246,77;1907,55;3943,46;5034,06;1931,16;67,69;1297,88;81,69;458,95;920,07;0;0;-355,26;73,05
1.06.2025;08:00;22160,28;1355,22;2624,46;4215,47;977,37;3577,84;4507,19;2100,93;74,16;1279,3;81,69;444,36;910,28;0;0;-65,11;77,12
1.06.2025;09:00;21323,41;1245,94;2545,45;4204,68;868,2;3575,83;4237,74;1824,08;68,41;1250,07;81,69;456,83;928,32;0;0;-45,45;81,62
1.06.2025;10:00;21303,11;1218,41;2352,27;4175,97;845,47;3572,15;4345,09;1805,91;67,65;1232,24;83,9;440,01;924,53;0;0;157,03;82,48
1.06.2025;11:00;21605,32;1239,23;2428,66;4162,77;795,41;3576,22;4342,41;2008,93;69,19;1216,78;86,11;422,88;916,35;0;0;260,51;79,87
1.06.2025;12:00;21634,64;1247,7;2499,68;4197,92;843,22;3576,26;4182,54;2028,11;69,45;1190,86;83,9;320,87;936,75;0;0;378,46;78,92
1.06.2025;13:00;22569,9;1296,03;2744,75;4152,4;999,34;3594,5;4527;2052,67;69,75;1176,48;81,69;313,29;941,28;0;0;539,47;81,25
1.06.2025;14:00;23653,13;1440,17;3057,89;4168,7;1257,09;3590,99;5109,77;1815,83;69,55;1167,6;83,9;325,44;939,45;0;0;546,76;79,99
1.06.2025;15:00;24936,6;1646,89;3414,64;4003,49;1393,31;4015,82;5543,82;1759,02;70,24;1155,45;83,9;326,92;935,58;0;0;510,39;77,13
1.06.2025;16:00;27202,17;1860,56;4346,77;4138,5;1812,09;4105,11;6127,66;1706,9;74,18;1146,44;83,9;319,34;932,2;0;0;469,99;78,53
1.06.2025;17:00;30044,06;2542,45;4996,57;4264,22;2722,52;5405,13;6192,71;945,85;74,2;1144,83;81,69;316,86;945,62;0;0;330,45;80,96
1.06.2025;18:00;32980,84;4028,24;5445,82;4483,32;3072,31;6793,56;5856,76;344,63;77,18;1146,67;83,9;301,11;958,66;0;0;307,96;80,72
1.06.2025;19:00;35152,5;5380,19;7088,02;4600,69;3207,53;7153,11;5367,6;66,86;78,8;1165,88;81,69;308,35;965,35;0;0;-390,79;79,22
1.06.2025;20:00;37064,63;6250,91;8350,63;4671,08;3489,86;7153,63;4863,22;0,84;79,89;1180,22;81,69;310,53;968,13;0;0;-417,21;81,21
1.06.2025;21:00;37171,82;6204,32;8760,54;4731,8;3407,89;7187,4;4475,77;0,02;80,95;1200,88;79,48;447,55;970,74;0;0;-456,62;81,1
1.06.2025;22:00;35660,2;6233,02;7568,1;4762,38;3301,27;7245,63;4067,93;0,02;81,7;1217,88;79,48;449,78;965,84;0;0;-391,46;78,63
1.06.2025;23:00;33953,47;6146,08;6733,92;4704,17;3095,16;7375,23;3420,78;0,01;81,94;1233,56;86,11;449,82;939,8;0;0;-393,05;79,94
2.06.2025;00:00;32285,21;4574,55;6875,01;4780,36;2962;7463,34;3113,84;0,02;82,02;1249,22;99,36;432,2;941,26;0;0;-365,97;78
2.06.2025;01:00;30466,11;4132,02;5711,09;4749,74;2822,73;7451,91;2929,74;0,02;81,41;1265,58;112,6;424,6;934,95;0;0;-227,79;77,51
2.06.2025;02:00;29352,08;4050,53;4615,77;4749,63;2710,27;7616,54;2895,73;0,02;80,15;1279,89;110,4;433,18;941,5;0;0;-205,6;74,07
2.06.2025;03:00;28583,88;3352,98;4246,61;4786,15;2631,53;7906,84;2915,86;0,13;78,37;1291,04;112,6;443,48;943,03;0;0;-199,33;74,59
2.06.2025;04:00;28471,11;2973,55;4360,13;4909,91;2613,19;7900,79;2946,28;2,6;81,06;1296,38;110,4;449,65;947,03;0;0;-193,76;73,9
2.06.2025;05:00;27561,53;2347,22;3875,01;4950,73;2632,56;7953,87;2982,96;70,32;79,29;1309,06;110,4;444,22;945,38;0;0;-212,98;73,49
2.06.2025;06:00;26353,7;2389,84;2952,37;4847,47;2552,89;7503;2823,96;586,48;72,27;1299,23;110,4;447,2;930,86;0;0;-235,18;72,91
2.06.2025;07:00;26692,63;2931,26;2806,89;4924,54;2482,14;7102,91;2501,28;1248,21;80,82;1262,08;110,4;441,24;927,86;0;0;-201,29;74,29
2.06.2025;08:00;29255,24;3424,68;3682,92;5190,99;2646,18;7542,33;2276,54;1743,19;83,93;1228,72;112,6;441,43;948,79;0;0;-142,58;75,52
2.06.2025;09:00;29200,56;3442,99;3203,35;5135,87;2593,59;7508,22;2343,85;2274,09;82,38;1195,28;112,6;439,79;952,13;0;0;-159,3;75,72
2.06.2025;10:00;28825;3609,47;3562,32;5024,17;2531,89;6226,24;2609,82;2642,25;76,62;1166,91;110,4;410,07;925,05;0;0;-140,37;70,16
